Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
31/12/2016;0,27;0,28;8;26;38;18;13;3
30/12/2016;0,44;0,51;77;46;164;24;17;5
29/12/2016;0,49;0,42;102;46;202;28;20;5
28/12/2016;0,31;;25;31;69;12;9;4
27/12/2016;0,34;0,33;24;36;73;13;8;3
26/12/2016;0,23;0,23;11;32;48;8;5;3
25/12/2016;0,26;0,3;12;30;49;13;9;3
24/12/2016;0,35;0,34;18;34;61;16;11;3
23/12/2016;0,39;0,39;41;39;102;24;14;4
22/12/2016;0,34;0,34;29;42;86;14;9;3
21/12/2016;0,35;0,32;21;50;82;11;8;3
20/12/2016;0,29;0,29;12;35;52;11;7;3
19/12/2016;0,34;0,36;29;44;89;17;10;3
18/12/2016;0,34;0,41;22;38;72;19;13;3
17/12/2016;0,47;0,4;45;43;112;27;15;4
16/12/2016;0,36;0,32;28;46;88;21;13;3
15/12/2016;0,31;0,33;33;33;83;24;15;3
14/12/2016;0,35;0,33;37;34;91;18;11;4
13/12/2016;0,26;0,31;14;26;47;11;7;3
12/12/2016;0,51;0,53;67;55;158;28;19;4
11/12/2016;0,55;0,52;55;46;131;18;13;4
10/12/2016;0,33;0,3;27;33;74;13;9;3
09/12/2016;0,22;0,21;7;24;35;12;7;3
08/12/2016;0,28;0,31;15;25;48;18;12;3
07/12/2016;0,36;0,35;45;37;106;18;12;4
06/12/2016;0,32;0,37;22;35;69;20;11;3
05/12/2016;0,31;0,25;31;38;85;16;10;3
04/12/2016;0,19;0,2;2;11;14;10;7;3
03/12/2016;0,38;0,39;34;35;86;12;9;3
02/12/2016;0,35;0,35;27;38;80;21;13;3
01/12/2016;0,44;0,4;40;46;107;31;20;4
30/11/2016;0,2;0,24;5;18;25;16;10;3
29/11/2016;0,43;0,4;38;39;98;24;14;3
28/11/2016;0,5;0,55;75;49;163;33;24;4
27/11/2016;0,33;0,26;22;30;64;12;7;3
26/11/2016;0,2;0,2;5;16;24;9;5;3
25/11/2016;0,33;0,34;21;35;66;17;10;3
24/11/2016;0,23;;12;30;48;10;6;3
23/11/2016;0,29;0,29;27;47;88;11;7;3
22/11/2016;0,27;0,26;24;39;75;13;6;3
21/11/2016;0,18;;4;19;26;7;4;2
20/11/2016;0,23;0,21;5;20;28;8;6;2
19/11/2016;0,2;0,22;7;23;34;18;9;3
18/11/2016;0,34;0,44;29;39;83;29;19;3
17/11/2016;0,64;0,61;106;52;215;38;25;4
16/11/2016;0,45;0,39;44;43;110;23;15;3
15/11/2016;0,25;0,23;12;29;46;12;8;3
14/11/2016;0,19;0,18;11;30;47;10;5;3
13/11/2016;0,19;0,21;9;29;42;9;5;3
12/11/2016;0,31;0,31;18;35;63;18;11;3
11/11/2016;0,28;0,27;15;45;68;16;9;3
10/11/2016;0,23;0,22;12;40;59;10;7;3
09/11/2016;0,2;0,21;8;26;39;10;6;2
08/11/2016;0,24;0,23;17;31;57;8;6;3
07/11/2016;0,21;0,2;9;28;41;5;2;2
06/11/2016;0,16;0,16;4;18;24;;3;2
05/11/2016;0,19;0,19;6;24;33;6;4;2
04/11/2016;0,35;0,43;36;40;95;34;19;3
03/11/2016;0,64;0,58;114;70;245;56;28;5
02/11/2016;0,36;0,34;42;54;119;36;23;3
01/11/2016;0,27;0,26;13;32;52;24;18;3
31/10/2016;0,26;0,31;20;35;65;22;14;3
30/10/2016;0,38;0,38;31;46;93;21;14;3
29/10/2016;0,4;0,4;30;45;91;26;16;3
28/10/2016;0,43;0,39;47;51;124;31;17;3
27/10/2016;0,25;0,24;22;34;67;24;14;3
26/10/2016;0,32;0,35;31;30;77;38;22;3
25/10/2016;0,39;0,39;43;45;112;28;15;3
24/10/2016;0,26;0,23;19;37;65;11;6;2
23/10/2016;0,19;0,23;3;13;17;9;5;2
22/10/2016;0,33;0,3;17;38;63;22;13;2
21/10/2016;0,29;0,29;27;40;82;26;13;3
20/10/2016;0,27;0,27;24;38;74;25;13;2
19/10/2016;0,24;0,24;22;32;66;19;12;2
18/10/2016;0,2;0,21;7;23;33;16;10;2
17/10/2016;0,31;0,34;20;37;68;24;16;2
16/10/2016;0,32;0,29;16;42;67;19;13;2
15/10/2016;0,21;0,22;7;27;37;15;9;2
14/10/2016;0,21;0,2;9;30;44;15;9;2
13/10/2016;0,3;0,31;22;38;72;15;9;2
12/10/2016;0,23;0,24;4;18;25;16;11;2
11/10/2016;0,31;0,29;26;43;82;26;13;3
10/10/2016;0,24;0,24;25;34;72;17;11;2
09/10/2016;0,17;0,17;4;16;22;10;8;2
08/10/2016;0,22;0,22;7;22;33;18;11;2
07/10/2016;0,21;0,21;10;22;37;16;10;2
06/10/2016;0,19;0,17;7;26;38;15;9;2
05/10/2016;0,19;0,18;7;22;33;14;8;2
04/10/2016;0,25;0,27;16;30;54;28;17;2
03/10/2016;0,24;0,22;8;26;38;25;14;2
02/10/2016;0,13;0,13;4;13;20;11;7;2
01/10/2016;0,18;0,19;6;16;25;15;9;2
30/09/2016;0,26;0,27;24;32;68;28;19;2
29/09/2016;0,23;0,22;12;32;50;20;12;2
28/09/2016;0,18;0,18;7;25;36;12;6;2
27/09/2016;0,22;0,21;11;25;42;14;7;2
26/09/2016;0,18;0,18;10;27;43;18;8;2
25/09/2016;0,19;0,21;4;14;21;17;10;2
24/09/2016;0,23;0,23;8;34;46;20;14;2
23/09/2016;0,2;0,19;7;26;37;20;12;2
22/09/2016;0,22;0,22;9;24;37;22;14;2
21/09/2016;0,19;0,19;13;31;52;20;12;2
20/09/2016;0,19;0,18;8;28;40;12;8;2
19/09/2016;0,19;0,19;17;22;49;13;8;2
18/09/2016;0,14;0,14;5;16;24;7;4;2
17/09/2016;0,14;0,15;7;17;28;8;4;2
16/09/2016;0,2;0,18;10;26;41;7;3;2
15/09/2016;0,11;;3;9;14;7;3;2
14/09/2016;0,15;;8;24;37;6;4;2
13/09/2016;0,18;0,21;4;15;21;18;10;1
12/09/2016;0,31;0,33;14;28;49;33;16;2
11/09/2016;0,23;0,21;4;19;25;17;12;2
10/09/2016;0,21;0,19;7;21;31;17;9;2
09/09/2016;0,14;0,14;7;20;30;16;8;2
08/09/2016;0,17;0,2;8;22;35;14;7;2
07/09/2016;0,29;0,3;16;33;58;35;19;2
06/09/2016;0,28;;15;33;56;28;20;2
05/09/2016;0,29;0,29;12;32;50;31;21;2
04/09/2016;0,24;0,25;5;26;34;29;20;2
03/09/2016;0,23;0,22;4;22;28;28;15;2
02/09/2016;0,26;0,26;11;31;47;32;;2
01/09/2016;0,23;0,22;8;30;41;21;13;2
31/08/2016;0,21;0,21;8;19;31;21;11;1
30/08/2016;0,18;0,18;6;19;28;16;9;1
29/08/2016;0,14;0,14;7;15;26;11;5;1
28/08/2016;0,18;0,2;3;10;14;16;12;1
27/08/2016;0,22;0,21;5;26;34;27;15;2
26/08/2016;0,21;0,21;4;21;27;28;19;2
25/08/2016;;;6;21;31;57;17;2
24/08/2016;;;7;25;36;30;19;2
23/08/2016;0,27;0,26;9;31;45;26;15;2
22/08/2016;0,24;0,22;16;29;53;18;9;2
21/08/2016;0,13;0,13;5;13;20;13;6;1
20/08/2016;0,15;0,16;5;16;24;13;6;1
19/08/2016;0,19;0,18;12;22;41;18;10;1
18/08/2016;0,16;0,16;4;11;17;12;8;1
17/08/2016;0,26;0,27;4;13;19;26;19;1
16/08/2016;0,24;0,25;8;30;42;22;14;1
15/08/2016;0,23;;3;16;21;19;11;1
14/08/2016;0,21;;2;16;20;23;13;2
13/08/2016;0,22;0,22;6;22;32;24;14;1
12/08/2016;0,2;0,17;10;26;42;18;9;1
11/08/2016;0,13;0,13;4;16;23;15;8;1
10/08/2016;0,13;;5;17;25;16;7;1
09/08/2016;;0,14;6;12;22;11;6;1
08/08/2016;0,2;0,19;5;18;25;14;9;1
07/08/2016;0,15;0,15;4;15;21;11;6;1
06/08/2016;0,15;0,15;4;12;18;9;4;1
05/08/2016;0,13;0,13;4;11;18;9;5;1
04/08/2016;0,16;0,17;6;17;27;17;11;1
03/08/2016;0,2;0,2;12;28;46;18;11;1
02/08/2016;0,18;0,17;6;20;29;12;7;1
01/08/2016;0,14;;5;14;21;11;;1
31/07/2016;0,13;0,13;5;11;18;6;3;1
30/07/2016;0,18;0,19;6;13;21;9;6;1
29/07/2016;0,22;0,2;6;22;32;20;12;1
28/07/2016;0,17;0,16;9;20;34;12;7;1
27/07/2016;0,14;;8;17;30;13;8;1
26/07/2016;0,14;0,14;8;18;31;10;6;1
25/07/2016;0,14;0,14;4;14;21;12;7;1
24/07/2016;0,14;0,14;4;11;17;8;4;1
23/07/2016;0,15;0,16;5;12;21;7;4;1
22/07/2016;0,18;0,17;8;21;32;12;8;1
21/07/2016;0,18;0,18;5;17;26;21;12;1
20/07/2016;0,25;0,28;10;32;47;31;21;1
19/07/2016;0,19;0,17;4;25;31;26;12;2
18/07/2016;0,21;;5;29;36;27;13;2
17/07/2016;0,22;0,2;4;21;27;22;11;1
16/07/2016;0,15;0,15;5;20;27;14;7;1
15/07/2016;0,16;0,16;6;20;29;13;7;1
14/07/2016;0,13;0,13;6;19;28;11;6;1
13/07/2016;0,14;0,14;9;22;36;9;5;1
12/07/2016;0,14;0,14;6;18;28;9;6;1
11/07/2016;0,17;0,17;7;16;27;6;;1
10/07/2016;0,22;0,23;10;27;41;24;16;1
09/07/2016;0,18;0,17;6;23;31;17;12;1
08/07/2016;0,19;0,2;8;22;34;16;12;1
07/07/2016;0,21;0,2;7;23;33;21;;1
06/07/2016;0,18;;9;20;33;13;2;1
05/07/2016;0,16;0,17;7;14;25;8;3;1
04/07/2016;0,18;0,17;6;17;26;16;10;1
03/07/2016;0,16;;6;15;24;7;2;1
02/07/2016;0,16;0,16;4;11;16;9;7;1
01/07/2016;0,21;0,22;6;17;27;16;;1
30/06/2016;0,24;0,23;12;23;40;21;13;1
29/06/2016;0,18;0,18;5;15;24;15;11;1
28/06/2016;0,19;0,19;10;22;37;19;11;1
27/06/2016;0,15;0,14;9;19;33;14;8;1
26/06/2016;0,12;0,12;6;12;20;9;5;1
25/06/2016;0,14;0,14;5;10;17;8;5;1
